scenario,frame,frame_ms,fps_monitor,process_ms,memory_mib,nodes,draw_objects,draw_primitives,draw_calls
world_far_drag,246,56.5270,14.00,109.2320,105.5832,5,1388,80211,1278
world_far_drag,247,57.1430,14.00,109.2320,105.5846,5,1388,80211,1278
world_far_drag,248,69.9530,14.00,109.2320,105.5860,5,1388,80211,1278
world_far_drag,249,55.7870,14.00,109.2320,105.5874,5,1388,80211,1278
world_far_drag,250,55.0790,14.00,109.2320,105.5906,5,1388,80211,1278
world_far_drag,251,55.3610,14.00,109.2320,105.5902,5,1388,80211,1278
world_far_drag,252,55.3480,16.00,78.1170,105.5915,5,1388,80211,1278
world_far_drag,253,54.9510,16.00,78.1170,105.5929,5,1388,80211,1278
world_far_drag,254,55.3620,16.00,78.1170,105.5943,5,1388,80211,1278
world_far_drag,255,61.5300,16.00,78.1170,105.5957,5,1388,80211,1278
world_far_drag,256,61.1670,16.00,78.1170,105.5971,5,1388,80211,1278
world_far_drag,257,69.8540,16.00,78.1170,105.5984,5,1388,80211,1278
world_far_drag,258,113.2700,16.00,78.1170,105.5998,5,1388,80211,1278
world_far_drag,259,77.2860,16.00,78.1170,105.6012,5,1388,80211,1278
world_far_drag,260,82.1010,16.00,78.1170,105.6026,5,1388,80211,1278
world_far_drag,261,69.3470,16.00,78.1170,105.6040,5,1388,80211,1278
world_far_drag,262,85.7330,16.00,78.1170,105.6053,5,1388,80211,1278
world_far_drag,263,55.2030,16.00,78.1170,105.6067,5,1388,80211,1278
world_far_drag,264,79.6370,16.00,78.1170,105.6081,5,1388,80211,1278
world_far_drag,265,96.6970,16.00,78.1170,105.6113,5,1388,80211,1278
world_far_drag,266,59.3570,14.00,113.0710,105.6109,5,1388,80211,1278
world_far_drag,267,56.4430,14.00,113.0710,105.6122,5,1388,80211,1278
world_far_drag,268,57.8030,14.00,113.0710,105.6136,5,1388,80211,1278
world_far_drag,269,82.2490,14.00,113.0710,105.6150,5,1388,80211,1278
world_far_drag,270,69.6090,14.00,113.0710,105.6164,5,1388,80211,1278
world_far_drag,271,122.1330,14.00,113.0710,105.6243,5,1388,80211,1278
world_far_drag,272,60.1460,14.00,113.0710,105.6259,5,1389,80213,1278
world_far_drag,273,57.0840,14.00,113.0710,105.6274,5,1389,80213,1278
world_far_drag,274,64.1970,14.00,113.0710,105.6290,5,1389,80213,1278
world_far_drag,275,65.3700,14.00,113.0710,105.6304,5,1389,80213,1278
world_far_drag,276,56.7460,14.00,113.0710,105.6318,5,1389,80213,1278
world_far_drag,277,59.8720,14.00,113.0710,105.6332,5,1389,80213,1278
world_far_drag,278,55.5560,14.00,113.0710,105.6346,5,1389,80213,1278
world_far_drag,279,56.6730,14.00,113.0710,105.6359,5,1389,80213,1278
world_far_drag,280,58.9320,14.00,113.0710,105.6373,5,1389,80213,1278
world_far_drag,281,55.0400,15.00,81.9640,105.6405,5,1389,80213,1278
world_far_drag,282,56.8200,15.00,81.9640,105.6401,5,1389,80213,1278
world_far_drag,283,68.7430,15.00,81.9640,105.6415,5,1389,80213,1278
world_far_drag,284,84.0580,15.00,81.9640,105.6428,5,1389,80213,1278
world_far_drag,285,62.6010,15.00,81.9640,105.6442,5,1389,80213,1278
world_far_drag,286,82.5550,15.00,81.9640,105.6456,5,1389,80213,1278
world_far_drag,287,77.4440,15.00,81.9640,105.6470,5,1389,80213,1278
world_far_drag,288,57.5930,15.00,81.9640,105.6484,5,1389,80213,1278
world_far_drag,289,56.4500,15.00,81.9640,105.6497,5,1389,80213,1278
world_far_drag,290,56.3510,15.00,81.9640,105.6511,5,1389,80213,1278
world_far_drag,291,55.6090,15.00,81.9640,105.6525,5,1389,80213,1278
